thuoctinh,fuzzy and deep q,deep q learning,mab,fuzzy
may0,
average_time,0.95,1.46,1.48,1.22
max_time,11.28,31.63,6.98,10.0
min_time,0.17,0.17,0.17,0.17
median_time,0.68,0.82,1.12,0.92
soluong,0.53,0.58,0.79,0.7
average_quality,0.97,0.91,0.92,0.92
var_time,0.82,4.54,1.38,0.9
may1,
average_time,1.89,26.22,2.7,1.95
max_time,3.68,275.99,10.83,3.68
min_time,0.58,0.57,0.59,0.58
median_time,1.82,2.69,2.22,1.92
soluong,0.15,0.07,0.06,0.1
average_quality,0.96,0.52,0.7,0.98
var_time,0.45,3896.78,2.44,0.2
may2,
average_time,1.69,13.67,2.58,1.62
max_time,3.82,388.56,9.84,3.82
min_time,0.48,0.47,0.48,0.54
median_time,1.56,1.97,2.23,1.52
soluong,0.15,0.22,0.08,0.11
average_quality,0.97,0.7,0.72,0.99
var_time,0.42,2320.97,2.43,0.21
may3,
average_time,1.71,7.26,2.69,1.9
max_time,3.5,160.1,10.22,2.99
min_time,0.0,0.56,0.56,0.59
median_time,1.66,2.29,2.19,1.9
soluong,0.17,0.13,0.06,0.09
average_quality,0.97,0.58,0.7,1.0
var_time,0.35,257.6,2.55,0.12
