good,medium,bad
481,69,262
394,173,357
421,231,188
548,204,309
438,176,261
547,136,281
443,133,281
436,113,297
530,148,180
472,220,284
497,283,299
519,203,137
485,218,154
486,230,148
420,324,269
357,291,185
578,254,265
529,216,180
577,200,176
456,282,350
551,207,106
539,193,94
573,265,256
507,230,112
548,223,79
543,196,121
556,276,190
546,292,135
564,331,160
636,231,79
590,190,140
641,218,83
619,286,185
662,229,103
796,153,38
631,185,42
809,179,16
797,230,31
821,250,20
836,144,15
840,184,3
778,116,11
742,106,6
732,252,95
667,97,48
711,315,49
806,210,27
690,142,9
778,149,3
830,208,3
791,100,1
798,78,3
888,74,0
748,78,1
766,90,11
789,76,12
777,206,36
826,201,32
722,98,7
845,191,3
892,136,15
853,152,31
851,161,16
855,165,13
772,57,0
863,123,4
674,196,204
59,2,1011
28,8,821
42,52,903
283,214,458
498,182,138
596,323,153
623,196,167
716,223,158
686,138,43
788,81,6
736,138,8
740,102,20
795,55,1
687,108,22
737,192,31
720,207,40
711,109,46
505,397,149
617,194,42
484,348,151
501,345,138
459,374,249
594,240,162
675,179,102
686,82,45
829,199,57
832,201,29
759,256,81
707,299,62
767,91,45
748,97,5
789,119,12
814,92,6
