good,medium,bad
692,120,0
821,103,0
730,110,0
940,121,0
743,132,0
838,126,0
725,132,0
749,97,0
783,75,0
881,95,0
885,186,8
757,99,3
770,87,0
704,160,0
784,216,13
640,193,0
859,222,16
740,171,14
846,103,4
866,181,41
726,122,16
690,136,0
917,177,0
712,137,0
710,140,0
764,96,0
725,215,82
702,235,36
821,229,5
805,128,13
735,183,2
780,162,0
915,172,3
867,125,2
821,166,0
773,85,0
860,142,2
948,110,0
968,114,9
872,123,0
870,157,0
783,122,0
712,142,0
829,238,12
723,74,15
881,193,1
853,189,1
745,96,0
763,167,0
889,152,0
801,91,0
768,111,0
824,138,0
691,133,3
749,112,6
769,107,1
833,186,0
876,179,4
700,127,0
886,153,0
936,104,3
885,144,7
895,133,0
833,190,10
719,110,0
808,182,0
935,139,0
893,179,0
706,148,3
855,142,0
792,163,0
673,145,0
786,278,8
740,213,33
861,234,2
733,129,5
764,111,0
762,120,0
716,146,0
745,106,0
724,93,0
836,124,0
796,171,0
733,133,0
801,236,14
737,105,11
836,147,0
837,147,0
788,286,8
815,180,1
833,123,0
694,119,0
942,143,0
922,140,0
923,173,0
915,153,0
792,111,0
766,84,0
813,107,0
792,120,0
