good,medium,bad
707,104,1
818,106,0
743,97,0
828,233,0
831,44,0
846,118,0
829,28,0
791,55,0
818,40,0
827,148,1
798,271,10
825,31,3
778,79,0
759,105,0
719,292,2
690,140,3
835,256,6
841,80,4
911,42,0
864,216,8
745,115,4
766,56,4
787,302,5
790,59,0
739,111,0
759,100,1
672,332,18
729,234,10
785,258,12
814,130,2
854,62,4
811,131,0
792,297,1
839,152,3
842,134,11
781,77,0
840,160,4
782,270,6
686,394,11
822,173,0
833,194,0
824,79,2
700,151,3
804,273,2
773,31,8
815,248,12
707,324,12
772,69,0
759,171,0
768,250,23
824,68,0
817,62,0
832,130,0
768,58,1
763,89,15
803,73,1
759,259,1
789,267,3
811,16,0
810,226,3
803,240,0
888,140,8
750,276,2
720,300,13
816,13,0
822,168,0
817,252,5
788,274,10
761,92,4
828,168,1
808,147,0
729,89,0
751,309,12
754,222,10
762,319,16
795,68,4
743,132,0
792,90,0
764,98,0
811,40,0
805,12,0
732,228,0
790,169,8
650,211,5
718,304,29
718,129,6
731,252,0
742,240,2
672,380,30
764,225,7
806,146,4
751,62,0
811,273,1
928,132,2
791,297,8
762,301,5
828,75,0
785,65,0
850,69,1
867,45,0
