good,medium,bad
691,117,3
729,191,3
684,153,2
736,315,9
689,184,1
765,197,1
721,133,2
682,159,4
731,126,0
670,300,5
707,348,23
668,169,21
690,161,5
695,167,1
606,383,23
546,261,25
640,412,44
602,283,39
633,292,27
620,421,46
617,215,31
624,194,7
720,353,20
680,166,2
667,174,8
669,189,1
617,359,45
604,328,40
616,376,62
719,219,7
678,227,14
674,262,5
665,379,45
651,327,15
663,303,20
670,180,7
603,357,43
642,370,45
636,413,41
648,325,21
694,319,13
658,237,9
614,237,2
678,352,48
680,123,8
701,347,26
618,385,39
690,148,2
638,283,8
653,366,21
668,208,15
726,151,1
746,210,5
636,185,5
673,179,14
679,185,12
634,363,21
590,429,39
686,132,8
704,320,14
659,360,23
669,324,42
621,365,41
609,398,25
662,154,12
670,308,11
595,416,62
696,347,28
690,162,4
690,289,17
528,359,67
643,172,2
506,499,66
675,247,63
615,410,71
713,140,13
710,163,1
694,182,5
699,155,7
739,111,0
724,88,4
706,247,6
661,287,18
633,219,13
626,384,40
596,241,15
629,329,24
640,328,15
491,491,99
575,364,56
624,302,29
669,126,17
663,388,33
705,338,18
677,381,37
698,341,28
682,203,17
722,124,3
662,246,11
