good,medium,bad
687,122,2
738,178,7
710,124,5
702,321,37
726,142,6
794,159,10
736,109,11
698,141,6
729,126,2
701,259,15
731,314,33
703,137,18
699,152,5
649,202,12
650,318,44
573,245,14
650,383,63
594,280,50
733,211,8
681,357,49
655,190,18
672,146,7
738,335,20
651,188,9
687,161,1
678,180,1
632,333,56
625,314,33
668,350,36
728,198,19
701,188,30
643,284,14
678,373,38
713,263,17
704,257,25
701,147,9
723,272,8
634,376,47
681,368,41
725,258,11
709,295,22
662,230,12
631,213,9
676,368,34
687,117,7
712,333,29
684,337,21
720,118,2
628,289,12
681,344,15
740,143,8
712,161,5
739,212,10
655,165,6
685,172,9
661,190,25
659,341,18
612,411,35
684,130,12
701,315,22
702,306,34
693,304,38
623,376,28
653,345,34
710,111,7
678,289,22
659,361,53
653,383,35
721,125,10
682,289,25
700,243,11
600,208,9
569,453,49
652,285,48
532,482,82
733,122,11
713,158,3
706,172,3
727,128,6
754,96,0
739,76,1
684,260,15
666,282,18
661,200,4
627,384,39
634,207,11
625,330,27
694,270,19
505,504,72
595,345,55
653,268,34
722,85,5
726,318,40
748,301,12
683,370,42
737,300,30
681,205,16
715,130,4
667,243,9
