server,bus1,bus2,bus3
738,136,97,62,
744,114,136,75,
756,145,86,83,
752,126,116,86,
773,131,104,56,
763,150,111,82,
757,141,83,48,
753,167,94,63,
755,133,132,69,
748,141,111,76,
771,121,136,107,
748,125,127,89,
783,120,81,90,
798,124,59,79,
872,100,57,87,
834,95,55,86,
764,123,78,105,
825,116,79,105,
806,135,96,106,
807,131,79,90,
830,126,53,65,
786,163,127,59,
743,176,109,61,
834,118,80,116,
814,110,84,107,
785,77,93,110,
809,106,86,120,
809,87,71,142,
815,95,56,92,
786,123,75,104,
868,130,85,113,
830,147,67,89,
793,138,64,96,
816,141,94,77,
692,135,168,80,
754,127,96,74,
771,132,79,67,
751,151,122,80,
799,140,122,86,
678,177,186,79,
835,117,69,95,
808,128,94,109,
801,104,67,101,
800,117,77,109,
848,97,57,97,
853,114,67,102,
852,79,52,80,
815,135,60,82,
803,89,53,78,
813,129,97,114,
798,134,58,85,
806,126,66,86,
803,158,103,64,
731,171,170,69,
754,130,94,90,
836,118,95,115,
778,103,84,95,
828,154,91,86,
791,123,101,114,
798,137,82,106,
769,153,128,87,
821,137,98,82,
808,108,89,85,
794,123,89,76,
806,131,75,120,
818,114,75,76,
683,171,148,64,
802,136,75,81,
814,144,60,79,
790,119,73,96,
823,98,63,93,
784,82,103,110,
800,97,81,125,
751,92,129,96,
775,92,69,98,
774,134,92,91,
754,125,141,104,
768,161,112,91,
798,99,62,72,
671,182,180,53,
726,143,114,81,
782,117,81,81,
769,108,87,90,
756,127,113,101,
844,92,46,84,
850,85,57,107,
838,96,56,102,
839,99,60,99,
864,84,50,102,
828,75,45,103,
790,119,94,101,
818,121,65,108,
826,137,85,83,
818,139,71,83,
808,131,48,70,
662,163,196,60,
771,126,133,104,
788,97,45,80,
796,124,57,95,
787,116,80,113,
