good,medium,bad
974,26,0
930,74,1
931,78,1
971,44,0
981,38,1
996,29,0
1000,29,1
1009,26,0
993,46,1
1005,37,3
989,60,1
956,94,5
999,61,0
919,143,3
835,234,1
833,240,2
1003,76,1
983,102,0
1047,40,3
1009,86,0
970,127,3
1073,32,0
1041,57,12
996,118,1
989,131,0
880,244,1
783,295,52
766,351,18
971,163,6
961,179,5
1009,141,0
1048,102,5
1005,155,0
1083,76,6
927,242,1
1028,145,2
1088,91,1
938,231,16
1074,106,10
1106,89,0
1084,112,4
1056,149,0
907,300,3
1092,122,1
950,252,18
946,254,25
984,225,21
1090,130,15
913,305,22
1119,121,5
1077,162,11
1063,171,11
1149,91,0
938,178,119
1032,136,62
875,318,32
982,234,4
1065,147,3
1016,194,0
970,197,38
1086,99,15
934,260,1
1043,147,0
1003,178,4
959,185,36
1012,133,30
1104,65,1
1056,109,0
1021,133,6
1010,132,13
1020,119,11
875,263,7
821,305,14
901,234,0
851,270,9
1038,81,6
1002,117,1
1069,37,9
1049,61,0
1031,74,0
951,124,25
974,117,4
1020,49,21
923,153,9
842,236,2
859,209,7
808,240,22
840,225,0
857,200,3
892,160,3
974,76,0
959,85,1
963,77,0
979,56,0
957,70,3
976,48,1
972,48,0
957,58,0
986,24,0
966,39,0
