good,medium,bad
864,169,0
808,261,0
795,275,0
869,211,0
879,185,0
926,167,13
891,128,10
840,237,0
878,211,0
853,223,0
787,344,4
853,236,0
865,202,7
949,106,5
965,151,0
870,200,0
838,227,5
990,135,0
846,290,7
987,120,0
1010,64,0
883,252,0
979,110,0
958,190,0
912,192,11
740,325,0
738,375,8
888,221,0
957,100,1
958,127,3
974,222,0
993,131,9
998,93,0
931,197,0
721,353,1
845,206,0
844,196,9
924,180,0
955,192,0
741,375,4
1031,85,0
869,270,0
822,243,8
835,252,16
1010,82,7
989,147,0
962,101,0
956,133,3
894,127,2
963,190,0
949,126,0
957,127,0
897,231,0
923,216,2
944,124,0
904,237,23
829,216,15
989,170,0
921,208,0
940,181,2
926,211,0
916,203,19
890,190,10
832,250,0
991,141,0
894,189,0
906,157,3
935,159,0
925,166,6
877,201,0
874,203,0
691,379,9
733,361,9
680,381,7
713,321,0
812,272,7
878,246,0
896,232,4
943,88,0
825,261,0
859,199,6
867,194,0
837,217,0
911,185,1
960,106,0
945,149,5
993,94,5
942,148,7
948,148,4
979,72,0
870,231,3
929,176,7
936,184,11
979,132,0
976,81,0
814,265,2
920,214,0
940,69,1
938,134,0
944,152,0
