server,bus1,bus2,bus3
432,207,313,81,
538,165,317,49,
485,160,353,72,
517,171,289,103,
466,228,306,64,
485,234,275,112,
434,264,174,157,
502,213,271,91,
535,162,293,99,
561,167,278,70,
568,127,357,83,
526,141,329,93,
550,224,150,150,
593,188,99,180,
650,235,45,186,
670,164,61,175,
556,129,238,147,
586,251,117,171,
576,196,252,119,
607,260,56,184,
612,266,35,161,
548,243,284,60,
576,270,61,182,
597,218,181,152,
587,186,161,181,
570,69,255,171,
600,80,329,112,
678,87,138,206,
589,201,79,189,
554,148,217,169,
577,267,201,151,
566,260,157,150,
567,244,96,184,
600,177,231,120,
564,98,387,26,
566,136,218,131,
523,244,136,146,
602,168,231,103,
630,164,180,173,
531,124,378,87,
606,233,96,181,
599,156,256,128,
582,140,172,179,
557,166,228,152,
603,248,38,210,
617,255,62,202,
591,302,22,148,
572,265,52,203,
523,237,96,167,
601,168,234,150,
562,211,167,135,
547,255,104,178,
516,263,245,104,
478,255,334,74,
534,172,214,148,
684,163,161,156,
543,136,221,160,
568,254,200,137,
570,139,317,103,
617,164,170,172,
589,148,248,152,
617,255,106,160,
598,180,164,148,
621,156,180,125,
590,178,209,155,
505,241,223,114,
505,223,234,104,
528,250,160,156,
572,269,102,154,
564,167,242,105,
534,218,178,147,
547,62,384,86,
560,82,352,109,
585,50,386,47,
530,59,370,75,
520,158,297,116,
585,150,314,75,
465,257,328,82,
515,256,83,177,
440,261,305,80,
529,161,251,123,
549,191,204,117,
547,123,279,105,
539,147,254,157,
600,261,39,166,
638,245,41,175,
664,227,28,173,
658,229,50,160,
634,254,24,188,
631,191,28,201,
576,153,230,145,
560,215,156,181,
584,235,184,128,
524,247,193,147,
535,258,108,156,
493,225,282,81,
566,143,312,113,
582,158,113,157,
572,179,173,148,
619,180,157,140,
