good,medium,bad
1006,27,0
993,76,0
985,85,0
1055,24,1
1024,40,0
1034,61,11
962,60,7
1034,43,0
1070,19,0
1026,50,0
959,174,2
997,91,1
982,89,3
935,120,5
905,211,0
853,216,1
991,74,5
1072,53,0
997,141,5
1057,50,0
1053,21,0
1090,45,0
1012,77,0
1065,83,0
974,133,8
843,220,2
909,205,7
923,186,0
992,65,1
1010,77,1
1108,88,0
1094,34,5
1065,26,0
1067,59,2
999,76,0
984,67,0
944,98,7
1052,51,1
1082,65,0
987,132,1
1077,39,0
1023,116,0
914,152,7
958,137,8
1013,81,5
1035,101,0
994,69,0
1020,69,3
953,69,1
1083,70,0
1036,38,1
1006,78,0
1052,76,0
1106,35,0
1050,18,0
982,170,12
912,140,8
1113,46,0
1049,80,0
1048,75,0
1076,60,1
975,148,15
1004,83,3
988,94,0
1045,86,1
1055,28,0
1034,32,0
1017,77,0
1036,56,5
1049,29,0
991,85,1
896,176,7
908,190,5
916,147,5
897,137,0
972,115,4
1065,59,0
1052,77,3
986,45,0
1007,79,0
1008,53,3
1006,55,0
964,90,0
957,140,0
946,120,0
888,201,10
923,165,4
891,198,8
903,191,6
929,122,0
1033,70,1
984,123,5
1050,73,8
1069,41,1
1048,9,0
970,110,1
1075,58,1
998,11,1
1031,41,0
1030,65,1
