server,bus1,bus2,bus3
515,216,258,11
506,216,263,20
507,196,279,28
508,216,274,17
478,257,270,15
498,246,262,19
502,251,265,12
546,212,262,15
516,232,267,25
557,208,258,22
566,190,273,21
565,192,262,36
595,226,214,25
636,206,165,58
682,213,100,75
725,135,116,99
649,161,241,29
621,250,191,23
614,211,247,18
616,264,188,27
574,255,236,35
555,257,274,19
549,265,274,22
658,219,205,33
634,212,234,40
736,117,207,65
697,123,225,85
761,112,160,102
704,220,171,45
632,211,244,58
654,252,217,27
644,255,234,22
647,245,223,45
641,234,256,34
623,178,315,54
657,194,261,63
665,235,245,35
621,219,272,73
649,211,270,60
633,201,304,57
679,257,231,33
687,189,248,81
691,195,243,81
716,212,244,43
710,258,178,74
733,270,153,69
770,250,156,54
688,261,243,43
720,244,194,82
689,222,283,51
680,263,258,49
685,253,255,52
660,266,276,38
592,265,317,61
680,230,274,46
729,187,216,93
727,182,243,68
642,267,268,38
673,212,277,48
657,233,239,76
640,210,289,61
641,264,225,65
701,188,214,87
661,199,241,84
658,237,235,50
666,223,238,48
591,259,295,25
621,248,264,32
617,261,249,33
647,222,242,44
666,220,233,31
682,116,269,78
730,118,214,78
665,114,297,59
697,122,240,71
633,191,267,34
607,200,280,33
561,253,278,23
598,263,226,23
538,246,297,24
571,220,271,38
604,229,222,40
624,191,247,28
614,193,234,44
685,241,82,72
706,190,71,108
719,150,97,104
741,142,90,92
708,225,71,56
738,174,87,56
592,199,215,44
578,228,216,23
568,238,206,28
530,248,241,16
533,254,225,18
479,244,284,18
537,203,262,18
606,219,173,17
588,213,200,9
614,202,171,18
