good,medium,bad
738,253,9
680,308,17
662,323,25
693,303,19
744,231,45
709,291,25
685,301,44
674,335,26
649,356,35
736,284,25
729,307,14
667,373,15
698,346,16
591,420,54
564,440,66
605,425,45
636,392,52
644,393,48
637,397,56
659,383,53
661,407,32
733,338,34
665,382,63
669,381,65
580,474,66
567,490,68
583,450,97
523,473,139
631,455,54
579,495,71
622,449,79
588,500,67
590,497,73
658,448,59
696,427,47
607,494,74
663,440,77
616,509,60
663,415,112
589,464,142
612,504,84
587,501,117
564,497,149
609,522,84
579,527,114
565,522,138
527,560,143
564,534,137
639,467,134
507,558,180
578,536,136
588,484,173
610,497,133
547,563,125
574,553,103
535,515,175
601,475,144
589,510,116
592,505,113
679,427,99
564,462,174
603,487,105
630,462,98
500,542,143
515,550,115
610,417,148
644,435,91
622,495,48
613,494,53
672,417,66
679,413,58
586,471,88
581,461,98
596,441,98
478,518,134
540,479,106
621,435,64
617,426,72
670,401,39
649,408,48
697,367,36
702,370,23
562,432,96
646,411,28
549,490,41
566,439,70
561,455,54
587,440,38
595,422,43
575,427,53
630,366,54
716,307,22
575,429,36
622,378,35
665,329,36
632,349,44
674,324,22
680,313,22
654,334,22
678,323,4
