server,bus1,bus2,bus3
810,47,84,59,
785,76,81,63,
798,67,76,69,
804,59,88,64,
798,69,90,63,
797,60,96,72,
816,60,81,73,
824,68,71,72,
808,70,93,69,
825,61,102,57,
825,70,88,67,
799,61,105,90,
803,69,118,70,
795,118,93,59,
848,72,63,87,
862,63,70,80,
825,64,102,89,
842,67,94,82,
849,61,104,76,
818,83,118,76,
819,96,102,83,
841,77,115,72,
826,71,118,95,
835,68,117,95,
832,91,119,78,
843,55,128,99,
857,53,110,110,
861,58,124,92,
827,86,125,102,
867,83,110,85,
846,103,115,86,
855,103,116,81,
823,80,128,129,
845,81,124,115,
866,95,126,83,
854,103,146,72,
853,95,132,100,
873,85,148,79,
847,108,131,104,
804,127,150,114,
818,116,149,117,
825,118,155,107,
875,77,137,121,
859,99,128,129,
871,113,124,112,
888,112,116,109,
848,134,98,150,
886,99,136,114,
880,98,144,118,
887,118,141,99,
880,95,136,139,
885,116,138,106,
908,116,110,106,
818,127,161,129,
893,117,123,97,
860,105,147,113,
869,102,135,114,
868,118,136,93,
861,103,148,98,
887,99,122,97,
840,100,153,107,
882,86,125,102,
870,104,121,95,
748,141,181,115,
809,136,123,112,
869,91,109,106,
852,76,136,106,
872,95,106,92,
824,95,144,97,
870,73,119,93,
844,111,119,76,
832,59,141,113,
826,45,138,131,
836,47,137,115,
780,57,164,129,
766,87,172,100,
825,88,120,87,
816,98,108,93,
797,106,108,99,
838,99,91,77,
839,81,116,64,
809,84,128,74,
755,58,147,130,
841,82,90,72,
825,79,63,113,
852,89,50,84,
850,71,46,103,
848,87,41,89,
835,102,35,88,
839,73,49,94,
810,80,96,64,
834,54,84,73,
803,79,90,68,
817,84,61,73,
806,72,99,53,
781,90,94,60,
784,68,80,88,
823,47,84,61,
785,59,93,73,
802,57,74,72,
