good,medium,bad
989,11,0
970,35,0
958,52,0
992,23,0
956,59,5
1007,18,0
1015,15,0
1015,20,0
1022,18,0
1018,27,0
995,55,0
1026,29,0
1037,23,0
936,129,0
839,226,5
792,283,0
987,93,0
973,112,0
1071,19,0
1080,15,0
1081,19,0
1079,26,0
1066,42,2
1087,28,0
1005,115,0
917,208,0
930,200,0
866,259,10
1010,130,0
1044,101,0
1093,57,0
1099,56,0
1119,41,0
1140,24,1
1087,83,0
1130,40,5
1096,83,1
1120,62,3
1126,64,0
1124,71,0
1153,44,3
1090,115,0
1041,164,5
1132,83,0
1133,87,0
1012,192,21
1070,152,8
1109,118,8
1094,101,45
1086,156,3
1141,87,22
1084,101,60
1125,94,21
1164,51,20
1144,86,0
1007,211,7
964,249,7
1142,73,0
1139,71,0
1087,116,2
1088,92,20
1128,67,0
1097,93,0
1047,119,19
1087,93,0
1029,138,8
1096,70,4
1111,44,10
1089,63,8
1100,55,0
1068,82,0
970,175,0
933,207,0
936,198,1
958,165,7
1043,82,0
1067,53,0
1074,41,0
1081,29,0
1064,41,0
1072,28,0
1054,39,2
1000,90,0
983,102,0
930,150,0
921,153,1
925,145,0
871,194,0
890,154,16
912,143,0
1020,30,0
1006,39,0
1014,26,0
1019,16,0
1003,27,0
1007,18,0
989,31,0
999,16,0
1004,6,0
985,20,0
