server,bus1,bus2,bus3
452,189,215,144,
447,167,220,171,
471,167,219,153,
463,173,216,163,
452,186,220,162,
461,204,215,145,
439,212,218,161,
471,189,226,149,
474,180,229,157,
476,178,228,163,
484,155,228,183,
496,179,224,156,
518,190,209,143,
541,182,180,162,
559,205,139,167,
590,170,144,171,
514,163,223,180,
500,209,194,182,
502,188,230,170,
493,228,205,169,
509,224,210,157,
476,213,241,175,
502,219,225,164,
508,192,221,194,
517,185,235,183,
566,126,228,205,
583,124,217,206,
611,127,179,218,
546,190,190,214,
548,183,226,188,
525,216,221,188,
521,219,243,172,
543,216,231,170,
542,184,246,193,
552,173,263,182,
576,186,242,171,
556,223,234,167,
578,196,248,163,
562,199,258,171,
558,205,265,167,
553,211,227,209,
578,183,255,189,
595,183,246,186,
580,194,239,202,
577,238,199,206,
592,234,175,224,
593,241,180,216,
554,239,243,199,
596,229,205,210,
586,192,259,208,
571,216,259,204,
566,231,247,201,
540,230,266,204,
561,222,255,197,
571,198,255,206,
593,188,236,208,
578,186,242,214,
551,220,250,194,
562,188,253,207,
573,193,257,182,
565,203,260,172,
547,238,240,170,
589,186,236,179,
585,189,243,168,
558,194,229,199,
527,211,246,191,
529,224,248,169,
534,219,236,176,
524,228,231,177,
535,194,237,189,
531,201,227,191,
585,121,246,193,
574,124,241,201,
561,125,257,192,
570,122,246,192,
521,177,242,185,
512,188,236,184,
511,213,230,161,
492,217,214,187,
497,218,236,154,
516,196,227,161,
509,189,223,174,
499,166,235,190,
525,179,205,176,
574,223,114,169,
579,213,115,168,
591,196,111,172,
582,205,116,162,
554,212,108,186,
545,177,119,214,
491,169,217,173,
475,183,209,178,
493,199,211,137,
474,196,213,152,
459,208,209,154,
450,199,217,159,
462,168,215,175,
472,171,198,174,
467,175,202,166,
463,172,196,174,
