server,bus1,bus2,bus3
504,291,415,446,
697,368,266,305,
770,269,336,593,
842,216,463,313,
679,279,359,374,
661,383,528,360,
712,195,336,732,
733,330,571,315,
778,282,367,394,
728,416,557,248,
686,276,390,551,
643,411,374,462,
589,417,310,306,
694,407,299,335,
1011,425,173,378,
665,324,207,559,
949,452,202,328,
690,418,334,404,
639,323,339,442,
812,327,420,411,
726,327,456,409,
665,304,300,350,
765,358,298,401,
795,322,348,326,
849,213,313,457,
728,85,344,500,
775,117,393,466,
803,182,534,397,
739,217,566,476,
614,341,494,189,
698,265,525,304,
648,345,341,365,
725,280,343,402,
711,285,333,443,
688,343,404,350,
624,426,283,348,
