server,bus1,bus2,bus3
376,767,48,9,
419,674,103,2,
696,432,196,9,
564,497,266,9,
720,324,237,99,
420,161,30,511,
464,152,49,468,
501,334,212,333,
537,314,239,227,
640,225,354,145,
457,298,312,90,
574,228,257,272,
643,86,232,182,
743,92,218,321,
899,91,68,47,
693,152,204,220,
658,155,219,329,
585,268,172,123,
523,286,145,307,
483,239,305,238,
436,182,257,234,
361,398,241,175,
569,137,349,275,
537,182,183,252,
783,48,281,142,
645,30,213,212,
735,15,140,237,
789,43,248,225,
635,35,185,246,
572,184,365,177,
550,297,204,211,
562,159,367,218,
638,86,341,204,
640,124,301,299,
654,107,203,370,
529,403,158,202,
765,134,233,220,
681,134,137,190,
586,207,210,129,
610,281,175,195,
629,143,174,200,
674,191,215,239,
665,208,250,272,
491,315,203,155,
521,257,257,212,
481,296,331,205,
386,438,246,195,
399,504,180,206,
461,229,290,120,
560,269,274,141,
474,444,309,75,
491,251,422,38,
546,356,286,53,
661,161,281,51,
820,176,173,93,
843,148,222,175,
650,249,163,331,
719,171,117,258,
640,211,158,314,
562,245,136,238,
416,237,174,319,
499,163,181,358,
502,147,285,295,
521,254,197,289,
419,314,194,342,
320,475,133,201,
387,352,173,251,
550,274,226,273,
769,220,175,162,
668,289,220,142,
684,123,198,119,
715,32,217,268,
639,15,232,355,
590,8,217,409,
537,76,260,444,
592,57,367,339,
401,177,413,212,
496,219,425,160,
374,398,240,137,
598,17,275,360,
643,48,427,253,
723,65,225,310,
770,120,192,254,
876,145,123,205,
815,76,29,246,
896,107,25,326,
713,115,13,376,
547,394,15,344,
470,172,9,612,
428,287,5,471,
545,329,6,443,
524,285,0,291,
440,634,8,185,
453,468,2,209,
458,615,16,220,
562,169,13,476,
756,237,61,304,
631,201,73,493,
671,247,49,356,
