server,bus1,bus2,bus3
431,276,39,66,
311,172,182,259,
213,56,340,231,
351,108,325,277,
274,91,297,213,
395,107,243,219,
289,77,267,224,
271,84,259,232,
420,83,202,153,
299,92,325,260,
476,64,297,242,
332,113,254,160,
308,101,261,187,
398,97,221,148,
473,138,202,200,
407,90,189,147,
565,87,245,200,
445,94,204,182,
430,59,234,230,
500,91,246,251,
430,56,247,131,
386,66,220,154,
580,70,274,170,
342,91,264,152,
403,92,224,131,
431,91,226,112,
658,77,193,94,
606,30,194,143,
694,35,180,146,
540,46,199,161,
569,50,171,130,
481,99,210,152,
648,56,218,168,
553,97,199,145,
572,42,233,140,
482,11,223,142,
634,19,230,121,
638,46,239,135,
665,32,268,126,
590,56,230,119,
582,36,246,163,
542,28,202,133,
530,25,183,116,
648,30,213,188,
502,32,141,137,
720,54,153,148,
621,55,189,178,
423,47,225,146,
544,55,181,150,
632,38,222,149,
486,18,227,161,
561,21,185,112,
564,29,237,132,
465,15,211,136,
474,34,238,121,
552,27,201,97,
662,37,219,101,
656,24,242,137,
519,26,169,113,
639,29,245,126,
641,33,239,130,
633,53,215,135,
648,37,212,131,
660,41,213,119,
491,15,186,137,
577,45,209,159,
538,74,280,182,
23,237,790,22,
26,266,199,366,
233,327,259,178,
758,85,71,41,
494,76,169,79,
848,61,132,31,
704,28,186,68,
700,29,228,140,
630,22,166,49,
665,47,130,33,
669,33,149,31,
623,59,143,37,
596,34,199,22,
519,35,220,43,
687,42,174,57,
700,29,194,44,
614,41,157,54,
793,31,165,62,
690,32,91,40,
753,60,105,65,
774,61,100,49,
827,89,122,44,
679,144,51,122,
689,71,114,82,
637,61,63,52,
800,71,155,59,
785,68,182,27,
776,59,209,52,
718,114,192,44,
652,44,154,53,
634,40,154,22,
697,42,140,41,
705,38,140,29,
