server,bus1,bus2,bus3
450,254,128,91,
302,90,370,77,
495,88,378,99,
322,95,371,86,
380,108,382,93,
300,101,364,91,
321,82,370,72,
307,95,376,79,
448,75,375,77,
523,77,376,102,
322,87,372,77,
366,80,347,63,
352,102,333,76,
678,78,181,75,
514,70,73,175,
600,79,206,211,
432,91,288,113,
628,55,212,57,
546,102,345,94,
359,153,219,132,
356,197,121,151,
553,302,129,109,
366,290,108,84,
400,183,113,153,
428,46,287,98,
528,46,349,98,
532,55,176,209,
552,99,222,181,
513,63,165,204,
441,99,273,106,
431,92,302,116,
560,96,289,144,
438,92,336,127,
481,82,120,303,
405,77,137,238,
533,92,123,255,
533,127,283,114,
621,264,132,73,
538,263,125,68,
514,271,136,105,
408,135,278,83,
381,127,270,75,
612,118,191,157,
365,105,113,228,
573,111,83,307,
541,110,125,266,
415,187,89,149,
568,107,83,171,
569,110,108,253,
418,152,104,217,
382,184,111,201,
455,158,108,240,
316,256,110,144,
351,149,279,87,
408,129,269,70,
501,161,258,98,
573,287,113,85,
384,262,102,78,
592,253,125,68,
636,181,155,70,
549,286,131,69,
582,238,139,68,
572,229,160,71,
314,148,259,107,
478,112,110,289,
582,128,107,256,
552,106,145,268,
307,130,325,94,
478,83,296,139,
439,147,271,97,
394,36,274,113,
606,46,242,177,
524,40,238,183,
572,48,355,121,
333,98,256,179,
350,86,301,137,
339,102,358,82,
357,91,185,228,
340,109,136,265,
289,79,372,76,
452,72,276,159,
436,77,232,221,
465,57,274,69,
755,103,73,119,
560,112,46,134,
594,124,45,219,
593,224,51,115,
640,273,46,122,
570,264,59,102,
522,176,92,165,
361,90,91,270,
593,227,119,145,
512,217,126,206,
612,171,107,205,
546,241,117,163,
574,115,81,132,
418,246,90,95,
467,261,113,78,
