server,bus1,bus2,bus3
528,88,118,78,
625,87,120,92,
576,92,101,71,
730,99,130,102,
564,104,118,89,
638,107,127,92,
519,114,128,96,
577,84,112,73,
554,100,121,83,
730,70,104,72,
800,80,113,86,
561,95,125,78,
565,98,123,71,
593,111,78,82,
820,69,58,66,
629,74,67,63,
794,91,119,93,
625,95,116,89,
633,98,125,97,
768,117,122,81,
609,91,93,71,
542,98,107,79,
763,119,122,90,
557,84,116,92,
574,71,114,91,
612,47,109,92,
828,46,71,77,
756,52,71,94,
716,114,118,107,
694,86,84,82,
592,111,125,92,
635,102,118,87,
795,102,112,81,
701,88,113,92,
675,90,137,85,
618,72,104,64,
697,101,130,76,
795,83,112,68,
797,95,129,70,
692,96,134,73,
703,106,116,102,
630,78,118,79,
585,69,110,90,
787,101,116,75,
526,108,75,103,
831,99,61,84,
776,109,69,89,
534,108,116,83,
653,88,99,90,
702,102,135,102,
568,112,122,90,
569,98,118,94,
622,113,128,99,
510,104,125,88,
617,76,95,79,
565,93,138,81,
734,81,116,88,
759,98,114,88,
547,78,112,90,
760,88,120,71,
785,83,105,70,
754,103,109,70,
780,73,111,64,
763,82,119,69,
506,105,118,100,
700,87,115,88,
785,107,109,73,
763,112,117,80,
560,101,115,81,
703,86,121,87,
682,65,115,93,
576,45,109,88,
806,57,119,90,
768,41,102,75,
825,52,126,94,
533,107,130,97,
595,89,108,83,
558,109,130,85,
591,88,101,82,
525,117,132,77,
529,91,117,80,
705,73,105,77,
676,79,118,94,
612,98,84,72,
815,107,52,77,
639,89,45,80,
794,77,42,70,
768,96,49,71,
836,102,49,95,
761,79,56,100,
712,74,102,68,
510,106,112,85,
787,104,117,77,
721,112,128,101,
791,108,117,80,
793,83,109,83,
619,81,114,89,
576,82,98,94,
631,84,114,91,
621,82,112,97,
