server,bus1,bus2,bus3
720,30,34,28,
746,47,66,65,
702,47,54,37,
789,80,103,89,
738,54,39,44,
775,52,84,53,
720,47,49,41,
667,59,75,45,
707,44,68,39,
756,67,99,54,
845,45,101,88,
725,54,45,35,
692,58,51,56,
718,40,54,52,
799,84,64,66,
710,47,46,30,
824,65,121,87,
737,65,75,48,
699,75,122,57,
820,75,111,82,
750,36,44,34,
706,27,58,35,
817,88,109,80,
660,48,87,54,
700,46,70,34,
723,13,78,46,
829,41,79,73,
788,42,78,65,
805,76,77,97,
750,53,69,74,
763,54,66,37,
733,53,103,53,
818,93,93,86,
747,81,114,52,
796,63,59,69,
681,59,61,57,
768,84,94,58,
818,75,97,68,
853,55,106,77,
781,65,88,61,
817,69,81,60,
768,38,50,49,
702,29,63,60,
827,68,109,75,
678,43,49,42,
822,91,82,80,
796,79,85,83,
616,70,97,58,
752,66,47,65,
795,53,121,72,
726,40,70,56,
728,40,62,49,
744,76,86,56,
668,31,81,47,
699,52,59,57,
721,52,50,54,
774,69,104,72,
805,67,109,78,
679,45,64,39,
810,70,93,66,
823,60,85,75,
789,86,106,55,
798,72,67,91,
818,57,81,77,
716,37,60,16,
761,72,82,75,
817,89,86,82,
810,77,98,87,
683,55,70,49,
762,87,89,59,
721,91,67,76,
693,19,49,57,
840,41,88,103,
785,34,95,72,
833,44,131,89,
738,43,41,45,
710,58,46,61,
710,65,57,50,
682,44,74,62,
725,30,55,41,
715,31,44,27,
767,60,77,56,
734,60,83,90,
753,27,62,24,
832,95,47,77,
698,65,28,62,
787,82,37,77,
838,45,36,65,
806,117,59,100,
794,58,54,90,
750,63,82,61,
695,36,43,39,
803,92,106,84,
822,76,98,66,
785,118,100,93,
809,84,82,93,
698,52,113,40,
698,50,64,38,
756,35,78,51,
739,46,57,70,
