server,bus1,bus2,bus3
431,132,140,108,
645,69,118,91,
651,63,69,56,
705,105,138,112,
718,54,58,44,
754,61,85,63,
697,52,60,47,
675,54,62,54,
666,51,82,58,
729,74,103,69,
839,67,93,79,
676,56,97,29,
682,46,65,63,
685,69,47,62,
767,100,68,77,
710,56,44,22,
790,83,132,91,
622,114,108,80,
747,64,83,58,
838,77,91,81,
730,42,54,37,
663,47,64,51,
812,99,96,86,
632,56,47,113,
687,36,79,47,
708,13,82,56,
784,45,99,93,
789,38,79,66,
792,87,95,80,
761,49,70,65,
727,74,66,52,
750,43,101,47,
802,89,101,97,
782,62,95,54,
760,68,80,78,
705,63,48,41,
771,68,99,65,
757,81,120,99,
829,59,131,71,
791,64,86,53,
802,83,83,58,
706,43,96,59,
716,36,50,51,
819,80,97,82,
702,28,44,37,
798,78,91,107,
774,112,79,77,
693,50,44,53,
730,74,57,68,
815,49,103,73,
723,42,64,62,
709,47,68,54,
730,65,96,70,
669,59,58,40,
679,63,66,58,
674,76,62,64,
797,62,84,75,
743,92,139,84,
696,38,63,29,
810,58,100,70,
826,61,86,69,
757,115,104,59,
796,56,103,72,
794,67,92,79,
716,44,52,16,
752,83,92,62,
799,113,82,79,
781,83,96,111,
718,44,46,48,
759,88,95,54,
777,58,55,64,
658,25,49,85,
814,44,126,87,
762,29,112,82,
761,47,171,117,
724,44,61,37,
690,62,73,49,
692,63,64,62,
706,54,60,41,
705,31,61,53,
675,33,64,44,
750,60,90,59,
737,53,73,103,
730,37,61,37,
817,98,55,80,
724,55,26,47,
795,67,45,75,
820,52,38,73,
789,107,60,125,
786,55,50,104,
752,59,90,54,
714,28,33,37,
808,91,118,67,
827,64,100,70,
754,118,131,92,
797,98,83,89,
705,56,105,36,
677,54,69,49,
722,45,83,69,
